                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.85318,                0.60766,                 1.1908,                0.97719,                0.44895,                0.50318,                0.38118,                0.94917,                0.60692,                 1.2312,             0.00087484,             0.00087484,             0.00087484
                     27,                0.85067,                0.63039,                 1.1975,                0.98599,                 0.4465,                0.48543,                0.36558,                0.93437,                0.55903,                 1.2392,             0.00084184,             0.00084184,             0.00084184
                     28,                0.86471,                 0.6384,                 1.1845,                0.97156,                0.46567,                 0.7321,                0.54212,                0.93812,                0.56816,                 1.2219,             0.00080883,             0.00080883,             0.00080883
                     29,                0.80019,                0.55806,                 1.1367,                0.96883,                0.45494,                0.48866,                  0.374,                0.90537,                0.57458,                 1.2252,             0.00077582,             0.00077582,             0.00077582
                     30,                 0.8144,                 0.5749,                 1.1528,                0.96399,                   0.47,                0.49889,                0.38187,                0.88979,                0.56518,                  1.209,             0.00074282,             0.00074282,             0.00074282
                     31,                0.81287,                0.57103,                 1.1563,                 0.9774,                0.45333,                0.49922,                0.38018,                0.88971,                0.57266,                 1.2139,             0.00070981,             0.00070981,             0.00070981
                     32,                0.78285,                0.58469,                 1.1386,                0.97801,                0.46643,                0.49585,                0.38397,                 0.8535,                0.53994,                 1.1627,              0.0006768,              0.0006768,              0.0006768
                     33,                0.76473,                 0.5437,                 1.1239,                0.96955,                0.46996,                0.49818,                0.38641,                0.82828,                0.54146,                 1.1604,              0.0006438,              0.0006438,              0.0006438
                     34,                0.80168,                0.55664,                 1.1498,                0.98018,                 0.4485,                0.47991,                0.37631,                0.85836,                0.57916,                 1.1683,             0.00061079,             0.00061079,             0.00061079
                     35,                0.80374,                 0.5721,                 1.1723,                0.96716,                0.45796,                0.49225,                0.38324,                0.84775,                0.54764,                 1.1599,             0.00057778,             0.00057778,             0.00057778
                     36,                0.77166,                0.56405,                 1.1366,                0.98485,                0.46352,                0.49733,                0.38937,                0.86613,                0.53295,                  1.192,             0.00054478,             0.00054478,             0.00054478
                     37,                0.75579,                0.54586,                 1.1182,                0.98859,                0.46352,                0.51164,                 0.4053,                 0.8228,                0.50928,                 1.1447,             0.00051177,             0.00051177,             0.00051177
                     38,                0.74675,                0.53758,                 1.1248,                0.97932,                0.46567,                0.51115,                    0.4,                  0.831,                0.51474,                 1.1437,             0.00047876,             0.00047876,             0.00047876
